r_def,t_loc_tri,ent,n_hog,sex,eda,cs_p12,cs_p13_1,e_con,ur,clase1,rama,ing7c,alta_educacion_ingreso_missing,pre_asa,tip_con_2,anios_esc,hrsocup,ing_x_hrs,mh_col
0,4,15,1,1,50,1,2,5,2,1,1,2,0,2,sin_contrato,6,60,33.33333,1
0,4,15,1,2,25,1,3,5,2,1,4,2,0,0,No_aplica,9,60,30,1
0,1,9,1,1,31,1,4,6,1,1,4,2,0,0,No_aplica,12,56,0,1
0,1,9,1,1,58,1,4,5,1,1,4,3,0,1,contrato,12,36,0,0
0,1,9,1,2,41,1,2,1,1,1,4,1,0,1,sin_contrato,6,24,50,1
0,1,9,1,2,56,1,2,1,1,1,3,6,0,0,No_aplica,6,36,0,1
0,1,9,1,1,41,1,2,6,1,1,1,2,0,0,No_aplica,6,56,0,1
0,1,9,1,2,29,1,3,6,1,1,3,2,0,1,contrato,9,54,0,0
0,1,9,1,2,29,1,7,6,1,1,3,1,0,1,sin_contrato,16,66,22.72727,1
0,1,9,1,2,41,1,4,5,1,1,4,7,0,1,sin_contrato,12,20,0,1
0,1,9,1,1,47,1,7,5,1,1,1,2,0,0,No_aplica,16,40,81.39535,1
0,1,9,1,1,39,1,4,6,1,1,4,3,0,0,No_aplica,12,60,66.66667,1
0,1,9,1,2,40,1,3,1,1,1,4,1,0,2,sin_contrato,9,3,100,1
0,1,9,1,1,48,1,4,5,1,1,4,2,0,1,contrato,12,40,46.51163,0
0,1,9,1,2,16,1,4,6,1,1,4,6,0,0,No_aplica,10,5,0,1
0,1,9,1,2,39,1,2,6,1,1,4,1,0,2,sin_contrato,4,21,64.28571,0
0,1,9,1,1,19,1,3,6,1,1,2,1,0,1,contrato,9,45,0,0
0,1,9,1,2,65,1,7,1,1,1,4,3,0,1,contrato,16,30,131.78295,0
0,1,9,1,1,62,1,2,1,1,1,4,2,0,2,sin_contrato,3,36,55.55556,1
0,1,9,1,2,29,1,7,6,1,1,4,2,0,1,contrato,15,45,0,0
0,1,9,1,1,50,1,6,5,1,1,2,5,0,0,No_aplica,12,70,142.85714,1
0,1,9,1,1,54,1,3,5,1,1,4,2,0,0,No_aplica,9,60,0,1
0,1,9,1,1,60,1,4,5,1,1,4,1,0,0,No_aplica,12,56,0,1
0,1,9,1,2,24,1,4,6,1,1,4,1,0,1,contrato,12,36,41.66667,1
0,1,9,1,1,41,1,4,1,1,1,3,7,0,1,contrato,12,50,0,0
0,1,9,1,1,22,1,4,5,1,1,4,2,0,1,contrato,12,48,45.83333,0
0,1,9,1,1,29,1,7,6,1,1,4,1,0,1,contrato,17,35,0,0
0,1,9,1,2,57,1,6,4,1,1,4,1,0,0,No_aplica,11,0,0,1
0,1,9,1,1,18,1,4,6,1,1,3,2,0,1,sin_contrato,12,28,83.05648,1
0,1,15,1,2,35,1,7,5,1,1,2,4,0,1,contrato,16,0,0,0
0,2,15,1,2,43,1,7,1,1,1,4,2,0,1,contrato,16,0,0,0
0,1,15,1,2,42,1,3,5,1,1,3,1,0,0,No_aplica,9,55,0,1
0,1,15,1,1,47,1,6,5,1,1,3,2,0,0,No_aplica,12,63,36.91399,0
0,1,15,1,2,52,1,3,5,1,1,4,1,0,2,sin_contrato,9,24,31.25,1
0,1,15,1,1,27,1,3,6,1,1,3,1,0,1,sin_contrato,9,48,25,1
0,1,15,1,1,39,1,7,5,1,1,2,3,0,1,contrato,16,48,77.51938,0
0,1,15,1,1,32,1,7,5,1,1,4,7,1,1,contrato,16,40,0,0
0,1,15,1,2,24,1,7,6,1,1,4,1,0,1,contrato,16,22,52.85412,0
0,3,15,1,2,52,1,8,5,1,1,4,3,0,1,contrato,18,45,113.69509,0
0,1,15,1,1,36,1,7,1,1,1,4,2,0,1,contrato,16,40,0,0
0,1,15,1,2,37,1,3,1,1,1,4,2,0,1,contrato,9,48,38.75969,0
0,1,15,1,1,26,1,7,6,1,1,4,3,0,1,contrato,17,45,82.68734,0
0,3,15,1,2,52,1,3,4,1,1,4,1,0,2,sin_contrato,9,40,0,1
0,1,15,1,1,51,1,3,5,1,1,2,2,0,0,No_aplica,9,32,58.13953,1
0,1,15,1,2,28,1,7,6,1,1,4,2,0,1,contrato,16,40,58.13953,0
0,1,15,1,2,56,1,2,1,1,1,3,1,0,0,No_aplica,4,15,0,1
0,1,15,1,2,42,1,3,6,1,1,2,2,0,1,contrato,9,45,0,0
0,1,15,1,1,56,1,3,6,1,1,3,7,0,1,contrato,9,60,0,0
0,2,15,1,1,56,1,2,5,1,1,2,7,0,1,contrato,6,48,0,0
0,2,15,1,1,27,1,4,6,1,1,2,1,0,1,contrato,11,40,0,0
0,1,15,1,2,27,1,7,6,1,1,2,2,0,1,contrato,16,36,54.26357,0
0,1,15,1,2,29,1,7,5,1,1,4,1,0,1,contrato,16,45,0,0
0,3,15,1,2,36,1,6,5,1,1,4,1,0,1,contrato,12,30,56.66667,1
0,1,15,1,1,58,1,3,1,1,1,2,1,0,1,contrato,9,48,0,0
0,1,15,1,1,46,1,3,5,1,1,2,2,0,1,contrato,9,0,0,0
0,3,15,1,1,64,1,2,5,1,1,4,2,0,2,sin_contrato,6,38,0,1
0,1,15,1,1,63,1,2,5,1,1,4,1,0,2,sin_contrato,3,48,0,1
0,1,15,1,1,55,1,3,5,1,1,4,2,0,2,sin_contrato,9,66,31.71247,1
0,1,15,1,2,25,1,7,6,1,1,2,1,0,1,contrato,14,0,0,0
0,1,15,1,1,32,1,4,1,1,1,2,2,0,1,contrato,12,0,0,0
0,2,15,1,1,39,1,3,5,1,1,4,1,0,0,No_aplica,9,10,30,1
0,3,15,1,1,61,1,2,1,1,1,1,1,0,2,sin_contrato,6,8,35,1
0,2,15,1,2,53,1,7,5,1,1,4,7,1,1,contrato,17,45,0,0
0,1,15,1,1,37,1,7,5,1,1,4,7,1,2,sin_contrato,17,40,0,0
0,1,15,1,2,35,1,8,6,1,1,4,7,1,1,contrato,18,40,0,0
0,1,15,1,1,68,1,4,5,1,1,3,7,0,0,No_aplica,10,40,0,0
0,1,15,1,1,56,1,3,5,1,1,2,3,0,0,No_aplica,8,60,77.51938,1
0,2,15,1,1,45,1,2,2,1,1,1,2,0,2,sin_contrato,3,46,43.47826,1
0,1,15,1,1,38,1,7,1,1,1,4,4,0,1,contrato,14,60,116.27907,0
0,2,15,1,2,51,1,3,5,1,1,4,2,0,1,contrato,9,40,46.51163,0
0,1,15,1,1,42,1,4,5,1,1,4,3,0,0,No_aplica,12,70,66.44518,0
0,3,15,1,1,34,1,3,6,1,1,4,1,0,2,sin_contrato,9,40,0,1
0,2,15,1,2,35,1,3,1,1,1,3,1,0,0,No_aplica,9,6,0,1
0,3,15,1,1,33,1,3,2,2,1,1,2,0,1,sin_contrato,9,50,37.2093,0
0,3,15,1,1,33,1,7,5,2,1,4,7,0,0,No_aplica,17,35,0,1
0,3,15,1,1,46,1,2,5,2,1,6,7,0,0,No_aplica,6,56,0,1
0,3,15,1,2,20,1,4,6,2,1,3,1,0,0,No_aplica,12,63,0,1
0,3,15,1,1,45,1,3,5,2,1,2,7,0,0,No_aplica,9,56,0,0
0,3,15,1,1,32,1,3,5,2,1,4,1,0,0,No_aplica,9,48,31.25,1
0,4,9,1,1,20,1,4,6,2,1,4,1,0,2,sin_contrato,12,15,0,1
0,4,15,1,2,32,1,6,2,2,1,2,1,0,0,No_aplica,11,56,26.78571,0
